2019/06/09 23:34:03:420 INFO K$a.b: Got updated scene model [placeId=6928, config=[type=data.TownSceneConfig, ], scene=1/%town:m.haven_town_square/1112110784]
2019/06/09 23:34:43:450 INFO K$a.b: Got updated scene model [placeId=6764, config=[type=data.TownSceneConfig, ], scene=2/%town:m.haven_bazaar/-250042096]
2019/06/09 23:35:11:984 INFO K$a.b: Got updated scene model [placeId=6799, config=[type=data.TownSceneConfig, ], scene=3/%town:m.haven_arcade/-1324583766]
2019/06/10 00:30:09:352 INFO K$a.b: Got updated scene model [placeId=6864, config=[type=data.TownSceneConfig, ], scene=134/%town:m.haven_town_square/-459171706]
2019/06/10 00:32:26:336 INFO K$a.b: Got updated scene model [placeId=6920, config=[type=data.TownSceneConfig, ], scene=135/%town:m.haven_bazaar/-250097096]
2019/06/10 00:33:47:736 INFO K$a.b: Got updated scene model [placeId=7038, config=[type=data.TownSceneConfig, ], scene=136/%town:m.haven_arcade/-1324638766]
2019/06/10 00:42:40:207 INFO K$a.b: Got updated scene model [placeId=6886, config=[type=data.MissionSceneConfig, ], scene=158/%building:~/308]
2019/06/10 01:02:15:996 INFO K$a.b: Got updated scene model [placeId=7005, config=[type=data.TownSceneConfig, ], scene=217/%town:m.rescue_camp_state_1/292]
2019/06/10 01:02:59:896 INFO K$a.b: Got updated scene model [placeId=7099, config=[type=data.TownSceneConfig, ], scene=218/%town:m.rescue_camp_state_2/293]
2019/06/10 21:04:24:840 INFO K$a.b: Got updated scene model [placeId=9468, config=[type=data.GuildHallSceneConfig, ], scene=25091/%guild:m.hall|~Scorched/2]
2019/06/10 21:04:48:524 INFO K$a.b: Got updated scene model [placeId=9468, config=[type=data.GuildHallSceneConfig, ], scene=25091/%guild:m.hall|~Scorched/2]
2019/06/10 21:08:07:242 INFO K$a.b: Got updated scene model [placeId=9472, config=[type=data.GuildHallSceneConfig, ], scene=25095/%guild:m.hall|~Bastoeyferja/3]
2019/06/10 21:10:49:276 INFO K$a.b: Got updated scene model [placeId=9479, config=[type=data.GuildHallSceneConfig, ], scene=25099/%guild:m.hall|~Descend/11]
2019/06/10 21:11:54:943 INFO K$a.b: Got updated scene model [placeId=9481, config=[type=data.GuildHallSceneConfig, ], scene=25101/%guild:m.hall|~Gremlin Academy/109]
2019/06/10 21:16:21:561 INFO K$a.b: Got updated scene model [placeId=9121, config=[type=data.GuildHallSceneConfig, ], scene=25109/%guild:m.hall|~The Spiral Splicers/2]
2019/06/10 21:17:53:496 INFO K$a.b: Got updated scene model [placeId=9127, config=[type=data.GuildHallSceneConfig, ], scene=25113/%guild:m.hall|~Neo Crusaders/2]
2019/06/10 21:21:48:615 INFO K$a.b: Got updated scene model [placeId=9133, config=[type=data.GuildHallSceneConfig, ], scene=25121/%guild:m.hall|~Yotsuba Knights/49]]
2019/06/10 21:23:55:597 INFO K$a.b: Got updated scene model [placeId=9066, config=[type=data.GuildHallSceneConfig, ], scene=25125/%guild:m.hall|~Teamboybangers/31]
2019/06/10 21:24:58:231 INFO K$a.b: Got updated scene model [placeId=9174, config=[type=data.GuildHallSceneConfig, ], scene=25127/%guild:m.hall|~Guardians Of Nature/11]
2019/06/10 21:33:06:167 INFO K$a.b: Got updated scene model [placeId=9083, config=[type=data.GuildHallSceneConfig, ], scene=25147/%guild:m.hall|~Mung Dynasty/3]
2019/06/10 21:36:55:069 INFO K$a.b: Got updated scene model [placeId=9087, config=[type=data.GuildHallSceneConfig, ], scene=25149/%guild:m.hall|~Victims Of Science/6]
2019/06/10 21:43:13:487 INFO K$a.b: Got updated scene model [placeId=9214, config=[type=data.GuildHallSceneConfig, ], scene=25163/%guild:m.hall|~The Neon Army/11]
2019/06/10 21:48:39:156 INFO K$a.b: Got updated scene model [placeId=9230, config=[type=data.GuildHallSceneConfig, ], scene=25181/%guild:m.hall|~Heavensworn/9]
2019/06/10 21:49:21:676 INFO K$a.b: Got updated scene model [placeId=9121, config=[type=data.GuildHallSceneConfig, ], scene=25183/%guild:m.hall|~Argonauts/14]
2019/06/10 21:50:28:940 INFO K$a.b: Got updated scene model [placeId=9237, config=[type=data.GuildHallSceneConfig, ], scene=25185/%guild:m.hall|~Three Wings/2]
2019/06/10 21:51:30:440 INFO K$a.b: Got updated scene model [placeId=9124, config=[type=data.GuildHallSceneConfig, ], scene=25187/%guild:m.hall|~Club Sixty Four/5]
2019/06/10 21:57:15:392 INFO K$a.b: Got updated scene model [placeId=9233, config=[type=data.GuildHallSceneConfig, ], scene=28927/%guild:m.hall|~Shadow Brigade/6]
2019/06/10 22:02:20:344 INFO K$a.b: Got updated scene model [placeId=9154, config=[type=data.GuildHallSceneConfig, ], scene=28923/%guild:m.hall|~Golden Squad/17]
2019/06/10 22:04:06:711 INFO K$a.b: Got updated scene model [placeId=9270, config=[type=data.GuildHallSceneConfig, ], scene=31226/%guild:m.hall|~Otakus Of Doom/65]
