2019/07/17 22:49:29:654 INFO K$a.b: Got updated scene model [placeId=369, config=[type=data.TownSceneConfig, ], scene=1/%town:m.haven_town_square/746634948]
2019/07/17 22:53:32:356 INFO K$a.b: Got updated scene model [placeId=402, config=[type=data.TownSceneConfig, ], scene=2/%town:m.haven_bazaar/-1280093880]
2019/07/17 22:54:44:656 INFO K$a.b: Got updated scene model [placeId=485, config=[type=data.TownSceneConfig, ], scene=3/%town:m.haven_arcade/930211426]
2019/07/17 22:55:12:089 INFO K$a.b: Got updated scene model [placeId=374, config=[type=data.TownSceneConfig, ], scene=445/%town:m.haven_eastside/822954854]
2019/07/17 22:57:03:040 INFO K$a.b: Got updated scene model [placeId=363, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=28075/%dungeon:m.mission_lobby/1729500283]
2019/07/17 22:59:46:391 INFO K$a.b: Got updated scene model [placeId=343, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741853/%dungeon:m.ct_undead/1]
2019/07/17 23:01:54:358 INFO K$a.b: Got updated scene model [placeId=350, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=27913/%dungeon:m.dark_halls_lobby/213]
2019/07/17 23:02:38:925 INFO K$a.b: Got updated scene model [placeId=351, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741855/%dungeon:m.iea_fiend/1]
2019/07/17 23:07:11:610 INFO K$a.b: Got updated scene model [placeId=354, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741857/%dungeon:m.spirits_graveyard/1]
2019/07/17 23:18:00:946 INFO K$a.b: Got updated scene model [placeId=273, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741842/%dungeon:m.ct_undead/1]
2019/07/17 23:26:33:898 INFO K$a.b: Got updated scene model [placeId=365, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741879/%dungeon:m.ct_undead/1]
2019/07/17 23:28:08:749 INFO K$a.b: Got updated scene model [placeId=367, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741880/%dungeon:m.iea_fiend/1]
2019/07/17 23:32:55:401 INFO K$a.b: Got updated scene model [placeId=374, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741881/%dungeon:m.spirits_graveyard/1]
2019/07/17 23:33:26:267 INFO K$a.b: Got updated scene model [placeId=376, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741882/%dungeon:m.fla_undead/1]
2019/07/17 23:38:15:552 INFO K$a.b: Got updated scene model [placeId=379, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=1073741884/%dungeon:m.spirits_graveyard/1]
2019/07/17 23:39:49:952 INFO K$a.b: Got updated scene model [placeId=380, config=[type=data.LevelSceneConfig, aDm=null, aDn=true], scene=28074/%dungeon:m.dark_halls_finale/211]
