2019/06/08 22:50:13:433 INFO K$a.b: Got updated scene model [placeId=116, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=398/%dungeon:m.tutorial_b/2008778103]
2019/06/08 22:58:37:002 INFO K$a.b: Got updated scene model [placeId=2020, config=[type=data.TownSceneConfig, ], scene=217/%town:m.rescue_camp_state_1/292]
2019/06/08 23:01:48:021 INFO K$a.b: Got updated scene model [placeId=1714, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=354/%dungeon:m.mission_lobby/-1172189096]
2019/06/08 23:03:42:988 INFO K$a.b: Got updated scene model [placeId=1717, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=337/%dungeon:m.training_grounds_generator/-1986457641]
2019/06/08 23:11:48:991 INFO K$a.b: Got updated scene model [placeId=1916, config=[type=data.TownSceneConfig, ], scene=218/%town:m.rescue_camp_state_2/293]
2019/06/08 23:13:41:493 INFO K$a.b: Got updated scene model [placeId=574, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=355/%dungeon:m.mission_lobby/278]
2019/06/08 23:14:53:526 INFO K$a.b: Got updated scene model [placeId=576, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=314/%dungeon:m.final_test/-1986457641]
2019/06/08 23:22:08:746 INFO K$a.b: Got updated scene model [placeId=602, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=345/%dungeon:%town:m.haven/277]
2019/06/08 23:24:28:080 INFO K$a.b: Got updated scene model [placeId=1187, config=[type=data.TownSceneConfig, ], scene=1/%town:m.haven_town_square/1112110784]
2019/06/08 23:25:58:764 INFO K$a.b: Got updated scene model [placeId=3103, config=[type=data.TownSceneConfig, ], scene=3/%town:m.haven_arcade/-1324583766]
2019/06/08 23:26:24:564 INFO K$a.b: Got updated scene model [placeId=1190, config=[type=data.TownSceneConfig, ], scene=2/%town:m.haven_bazaar/-250042096]
2019/06/08 23:27:00:815 INFO K$a.b: Got updated scene model [placeId=454, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=28906/%dungeon:m.advanced_training/199]
2019/06/08 23:28:13:565 INFO K$a.b: Got updated scene model [placeId=692, config=[type=data.TrainingSceneConfig, aDh=null, aDi=true], scene=294/%dungeon:m.advanced_training/276]
2019/06/08 23:29:11:316 INFO K$a.b: Got updated scene model [placeId=114, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=438/%dungeon:m.haven_laboratory/1273171786]
2019/06/08 23:29:44:199 INFO K$a.b: Got updated scene model [placeId=1935, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=351/%dungeon:m.mission_lobby/1729566463]
2019/06/08 23:30:44:249 INFO K$a.b: Got updated scene model [placeId=1938, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25140/%dungeon:m.mission_drakon_1/1209327251]
2019/06/08 23:38:33:669 INFO K$a.b: Got updated scene model [placeId=1942, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25136/%dungeon:m.mission_drakon_2/224]
2019/06/08 23:43:43:871 INFO K$a.b: Got updated scene model [placeId=747, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25133/%dungeon:m.haven_laboratory/-1374011038]
2019/06/08 23:45:52:604 INFO K$a.b: Got updated scene model [placeId=186, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25129/%dungeon:m.mission_seraphynx_1/1209325251]
2019/06/08 23:57:14:091 INFO K$a.b: Got updated scene model [placeId=214, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25139/%dungeon:m.mission_seraphynx_2/222]
2019/06/09 00:02:28:827 INFO K$a.b: Got updated scene model [placeId=1183, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25135/%dungeon:m.haven_laboratory/-361319506]
2019/06/09 00:04:06:610 INFO K$a.b: Got updated scene model [placeId=2400, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25137/%dungeon:m.mission_maskewraith_1/-1172246096]
2019/06/09 00:11:55:796 INFO K$a.b: Got updated scene model [placeId=2425, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25138/%dungeon:m.mission_maskewraith_2/223]
2019/06/09 00:17:13:031 INFO K$a.b: Got updated scene model [placeId=521, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25134/%dungeon:m.haven_laboratory/-1437029662]
2019/06/09 00:19:25:749 INFO K$a.b: Got updated scene model [placeId=577, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=437/%dungeon:m.haven_laboratory/2079409070]
2019/06/09 00:20:36:282 INFO K$a.b: Got updated scene model [placeId=1177, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741880/%dungeon:m.ct_construct/1]
2019/06/09 00:25:24:567 INFO K$a.b: Got updated scene model [placeId=1188, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=440/%dungeon:m.mission_collector/-1986478821]
2019/06/09 00:35:57:371 INFO K$a.b: Got updated scene model [placeId=1206, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25131/%dungeon:m.haven_laboratory/1847817314]
2019/06/10 22:34:54:273 INFO K$a.b: Got updated scene model [placeId=1301, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741883/%dungeon:m.ct_slime/1]
2019/06/10 22:40:31:808 INFO K$a.b: Got updated scene model [placeId=1308, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741884/%dungeon:m.lichenous_lair_alien_ooze/1]
2019/06/10 22:47:00:643 INFO K$a.b: Got updated scene model [placeId=815, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741859/%dungeon:m.ct_construct_toy_soldiers/1]
2019/06/10 22:53:43:263 INFO K$a.b: Got updated scene model [placeId=828, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741861/%dungeon:m.bp_construct_toy_soldiers/1]
2019/06/10 23:01:02:466 INFO K$a.b: Got updated scene model [placeId=1057, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=338/%dungeon:m.trap_chamber/278]
2019/06/10 23:06:32:151 INFO K$a.b: Got updated scene model [placeId=858, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741864/%dungeon:m.ct_beast/1]
2019/06/10 23:14:42:738 INFO K$a.b: Got updated scene model [placeId=877, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=366/%dungeon:m.geo_knight_camp/278]
2019/06/10 23:22:56:024 INFO K$a.b: Got updated scene model [placeId=1006, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=347/%dungeon:m.soldiers_graveyard/277]
2019/06/10 23:27:58:926 INFO K$a.b: Got updated scene model [placeId=1207, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=380/%dungeon:m.gloaming_wildwoods_path/277]
2019/06/10 23:31:16:961 INFO K$a.b: Got updated scene model [placeId=1209, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=382/%dungeon:m.gloaming_wildwoods_ruins/278]
2019/06/10 23:36:44:496 INFO K$a.b: Got updated scene model [placeId=1214, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=384/%dungeon:m.gloaming_wildwoods_snarbolax/278]
2019/06/11 22:05:57:026 INFO K$a.b: Got updated scene model [placeId=445, config=[type=data.MissionSceneConfig, ], scene=158/%building:~/308]
2019/06/11 22:08:30:392 INFO K$a.b: Got updated scene model [placeId=236, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=315/%dungeon:m.hall_of_heroes_star1/1831276379]
2019/06/11 22:09:57:076 INFO K$a.b: Got updated scene model [placeId=552, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=27912/%dungeon:%town:m.haven/1729498277]
2019/06/11 22:11:33:776 INFO K$a.b: Got updated scene model [placeId=553, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=27911/%dungeon:m.haven_laboratory/-1986524641]
2019/06/11 22:13:36:426 INFO K$a.b: Got updated scene model [placeId=546, config=[type=data.TownSceneConfig, ], scene=445/%town:m.haven_eastside/-1605088030]
2019/06/11 22:15:33:895 INFO K$a.b: Got updated scene model [placeId=416, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741841/%dungeon:m.bf_slime_oilers_in_boilers/1]
2019/06/11 22:21:09:979 INFO K$a.b: Got updated scene model [placeId=420, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741843/%dungeon:m.lichenous_lair_fire_oilers_in_boilers/1]
2019/06/11 22:27:01:681 INFO K$a.b: Got updated scene model [placeId=693, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741879/%dungeon:m.cc_beast_frostifur_fandango/1]
2019/06/11 22:37:23:934 INFO K$a.b: Got updated scene model [placeId=703, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741881/%dungeon:m.wolver_den_freeze_frostifur_fandango/1]
2019/06/11 22:46:46:521 INFO K$a.b: Got updated scene model [placeId=149, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741824/%dungeon:m.ct_gremlin_rescues_and_recycling/1]
2019/06/11 22:49:44:322 INFO K$a.b: Got updated scene model [placeId=151, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741825/%dungeon:m.dz_knight_rescue_vanilla_rescues_and_recycling/1]
2019/06/11 22:55:59:224 INFO K$a.b: Got updated scene model [placeId=159, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741826/%dungeon:m.pc_construct_shocking_sentient_sentries/1]
2019/06/11 23:00:24:958 INFO K$a.b: Got updated scene model [placeId=161, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741827/%dungeon:m.bp_construct_shocking_sentient_sentries/1]
2019/06/11 23:09:31:978 INFO K$a.b: Got updated scene model [placeId=773, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741886/%dungeon:m.cc_undead_chilled_to_bone/1]
2019/06/11 23:12:42:679 INFO K$a.b: Got updated scene model [placeId=774, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741887/%dungeon:m.candlestick_keep_vanilla_chilled_to_bone/1]
2019/06/11 23:17:45:731 INFO K$a.b: Got updated scene model [placeId=784, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741889/%dungeon:m.bf_fiend_work_idle_hands/1]
2019/06/11 23:20:39:765 INFO K$a.b: Got updated scene model [placeId=785, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741890/%dungeon:m.dd_office_party_vanilla/1]
2019/06/11 23:27:13:118 INFO K$a.b: Got updated scene model [placeId=1294, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=247/%dungeon:m.lost_castle_spiral_court_2_timeenoughatlast/278]
2019/06/11 23:37:40:571 INFO K$a.b: Got updated scene model [placeId=1304, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=242/%dungeon:m.lost_castle_cravat_hall_2_timeenoughatlast/276]
2019/06/11 23:45:57:707 INFO K$a.b: Got updated scene model [placeId=1325, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=259/%dungeon:m.scarlet_fortress_grim_gallery_eternalstudy/277]
2019/06/11 23:56:45:961 INFO K$a.b: Got updated scene model [placeId=1003, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741902/%dungeon:m.wolver_den_shock_rise_or_fall/1]
2019/06/11 23:59:50:095 INFO K$a.b: Got updated scene model [placeId=1004, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741903/%dungeon:m.lichenous_lair_shock_rise_or_fall/1]
2019/06/12 00:02:58:813 INFO K$a.b: Got updated scene model [placeId=1006, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741904/%dungeon:m.iea_slime_noexit_rise_or_fall/1]
2019/06/12 00:10:41:165 INFO K$a.b: Got updated scene model [placeId=671, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=316/%dungeon:m.hall_of_heroes_star2/972996495]
2019/06/12 00:12:29:316 INFO K$a.b: Got updated scene model [placeId=198, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=253/%dungeon:m.royal_jelly_garden/276]
2019/06/12 00:19:06:268 INFO K$a.b: Got updated scene model [placeId=200, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=251/%dungeon:m.royal_jelly_court/276]
2019/06/12 00:31:41:656 INFO K$a.b: Got updated scene model [placeId=217, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=255/%dungeon:m.royal_jelly_lair/278]
2019/06/12 20:45:12:430 INFO K$a.b: Got updated scene model [placeId=180, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=367/%dungeon:m.jigsaw_valley_emerald_axis_axesofevil/278]
2019/06/12 21:00:49:352 INFO K$a.b: Got updated scene model [placeId=197, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=375/%dungeon:m.jigsaw_valley_the_jade_tangle_axesofevil/277]
2019/06/12 21:10:08:622 INFO K$a.b: Got updated scene model [placeId=367, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741857/%dungeon:m.ww_fiend_plan_of_attack/1]
2019/06/12 21:23:18:660 INFO K$a.b: Got updated scene model [placeId=371, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741858/%dungeon:m.pc_gremlin_plan_o_attack/1]
2019/06/12 21:31:31:396 INFO K$a.b: Got updated scene model [placeId=436, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741856/%dungeon:m.wolver_den_fire_high_temperature_hostages/1]
2019/06/12 21:42:16:584 INFO K$a.b: Got updated scene model [placeId=447, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741858/%dungeon:m.bf_construct_high_temperature_hostages/1]
2019/06/12 21:49:44:036 INFO K$a.b: Got updated scene model [placeId=458, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741860/%dungeon:m.dz_bp_knight_rescue_fire/1]
2019/06/12 22:46:54:271 INFO K$a.b: Got updated scene model [placeId=641, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741873/%dungeon:m.ww_fiend_plan_of_attack/1]
2019/06/12 22:50:15:605 INFO K$a.b: Got updated scene model [placeId=647, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:m.pc_gremlin_plan_o_attack/1]
2019/06/12 23:02:11:992 INFO K$a.b: Got updated scene model [placeId=372, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741844/%dungeon:m.candlestick_keep_vanilla_whipping_mishandling/1]
2019/06/12 23:05:24:109 INFO K$a.b: Got updated scene model [placeId=373, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741845/%dungeon:m.ct_fiend_whipping_mishandling/1]
2019/06/12 23:08:32:710 INFO K$a.b: Got updated scene model [placeId=374, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741846/%dungeon:m.dd_knight_camp_fire_whipping_mishandling/1]
2019/06/12 23:13:56:945 INFO K$a.b: Got updated scene model [placeId=563, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741873/%dungeon:m.lichenous_lair_poison_sewer_stash/1]
2019/06/12 23:17:39:063 INFO K$a.b: Got updated scene model [placeId=568, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741874/%dungeon:m.ww_construct_sewer_stash/1]
2019/06/12 23:21:28:081 INFO K$a.b: Got updated scene model [placeId=573, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741876/%dungeon:m.bp_ww_gremlin_sewer_stash/1]
