2019/06/18 13:51:43:887 INFO K$a.b: Got updated scene model [placeId=818, config=[type=data.TownSceneConfig, ], scene=2/%town:m.haven_bazaar/-250042096]
2019/06/18 13:52:21:570 INFO K$a.b: Got updated scene model [placeId=820, config=[type=data.TownSceneConfig, ], scene=1/%town:m.haven_town_square/1111932038]
2019/06/18 13:53:35:688 INFO K$a.b: Got updated scene model [placeId=1231, config=[type=data.TownSceneConfig, ], scene=445/%town:m.haven_eastside/-1605088030]
2019/06/18 13:54:18:788 INFO K$a.b: Got updated scene model [placeId=1270, config=[type=data.TownSceneConfig, ], scene=3/%town:m.haven_arcade/-1324583766]
2019/06/18 14:02:42:841 INFO K$a.b: Got updated scene model [placeId=1201, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=348/%dungeon:m.arcade_lobby/39281324]
2019/06/18 14:03:11:241 INFO K$a.b: Got updated scene model [placeId=1202, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741864/%dungeon:m.lichenous_lair_freeze/1]
2019/06/18 14:06:04:092 INFO K$a.b: Got updated scene model [placeId=1203, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741865/%dungeon:m.wolver_den_freeze/1]
2019/06/18 14:09:15:543 INFO K$a.b: Got updated scene model [placeId=1205, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741866/%dungeon:m.treasure_vault_1/1]
2019/06/18 14:13:00:979 INFO K$a.b: Got updated scene model [placeId=1212, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=327/%dungeon:m.terminal_1/278]
2019/06/18 14:13:51:778 INFO K$a.b: Got updated scene model [placeId=1218, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=380/%dungeon:m.gloaming_wildwoods_path/277]
2019/06/18 14:17:19:579 INFO K$a.b: Got updated scene model [placeId=1226, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=382/%dungeon:m.gloaming_wildwoods_ruins/278]
2019/06/18 14:30:49:401 INFO K$a.b: Got updated scene model [placeId=1243, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=384/%dungeon:m.gloaming_wildwoods_snarbolax/278]
2019/06/18 14:33:22:218 INFO K$a.b: Got updated scene model [placeId=1252, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=356/%dungeon:m.moorcroft/1209381431]
2019/06/18 14:57:57:327 INFO K$a.b: Got updated scene model [placeId=1269, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741869/%dungeon:m.ct_beast/1]
