2019/06/08 22:50:13:433 INFO K$a.b: Got updated scene model [placeId=116, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=398/%dungeon:The Crash Site|Waking in a New World/2008778103]
2019/06/08 22:58:37:002 INFO K$a.b: Got updated scene model [placeId=2020, config=[type=data.TownSceneConfig, ], scene=217/%town:Rescue Camp|Before Night Falls/292]
2019/06/08 23:01:48:021 INFO K$a.b: Got updated scene model [placeId=1714, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=354/%dungeon:Mission Lobby/-1172189096]
2019/06/08 23:03:42:988 INFO K$a.b: Got updated scene model [placeId=1717, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=337/%dungeon:Ancient Generator|Restoring Power/-1986457641]
2019/06/08 23:11:48:991 INFO K$a.b: Got updated scene model [placeId=1916, config=[type=data.TownSceneConfig, ], scene=218/%town:Rescue Camp|Light in the Darkness/293]
2019/06/08 23:13:41:493 INFO K$a.b: Got updated scene model [placeId=574, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=355/%dungeon:Mission Lobby/278]
2019/06/08 23:14:53:526 INFO K$a.b: Got updated scene model [placeId=576, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=314/%dungeon:The Journey to Haven/-1986457641]
2019/06/08 23:22:08:746 INFO K$a.b: Got updated scene model [placeId=602, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=345/%dungeon:%town:Haven/277]
2019/06/08 23:24:28:080 INFO K$a.b: Got updated scene model [placeId=1187, config=[type=data.TownSceneConfig, ], scene=1/%town:Haven|Town Square/1112110784]
2019/06/08 23:25:58:764 INFO K$a.b: Got updated scene model [placeId=3103, config=[type=data.TownSceneConfig, ], scene=3/%town:Haven|Arcade/-1324583766]
2019/06/08 23:26:24:564 INFO K$a.b: Got updated scene model [placeId=1190, config=[type=data.TownSceneConfig, ], scene=2/%town:Haven|Bazaar/-250042096]
2019/06/08 23:27:00:815 INFO K$a.b: Got updated scene model [placeId=454, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=28906/%dungeon:Advanced Training Hall/199]
2019/06/08 23:28:13:565 INFO K$a.b: Got updated scene model [placeId=692, config=[type=data.TrainingSceneConfig, aDh=null, aDi=true], scene=294/%dungeon:Advanced Training Hall/276]
2019/06/08 23:29:11:316 INFO K$a.b: Got updated scene model [placeId=114, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=438/%dungeon:The Lab/1273171786]
2019/06/08 23:29:44:199 INFO K$a.b: Got updated scene model [placeId=1935, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=351/%dungeon:Mission Lobby/1729566463]
2019/06/08 23:30:44:249 INFO K$a.b: Got updated scene model [placeId=1938, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25140/%dungeon:Sunset Steppes/1209327251]
2019/06/08 23:38:33:669 INFO K$a.b: Got updated scene model [placeId=1942, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25136/%dungeon:Frigid Passage/224]
2019/06/08 23:43:43:871 INFO K$a.b: Got updated scene model [placeId=747, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25133/%dungeon:The Lab/-1374011038]
2019/06/08 23:45:52:604 INFO K$a.b: Got updated scene model [placeId=186, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25129/%dungeon:Restless Railroad/1209325251]
2019/06/08 23:57:14:091 INFO K$a.b: Got updated scene model [placeId=214, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25139/%dungeon:End of the Line/222]
2019/06/09 00:02:28:827 INFO K$a.b: Got updated scene model [placeId=1183, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25135/%dungeon:The Lab/-361319506]
2019/06/09 00:04:06:610 INFO K$a.b: Got updated scene model [placeId=2400, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25137/%dungeon:Creeping Cavern/-1172246096]
2019/06/09 00:11:55:796 INFO K$a.b: Got updated scene model [placeId=2425, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25138/%dungeon:Emergency Outflow/223]
2019/06/09 00:17:13:031 INFO K$a.b: Got updated scene model [placeId=521, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25134/%dungeon:The Lab/-1437029662]
2019/06/09 00:19:25:749 INFO K$a.b: Got updated scene model [placeId=577, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=437/%dungeon:The Lab/2079409070]
2019/06/09 00:20:36:282 INFO K$a.b: Got updated scene model [placeId=1177, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741880/%dungeon:Clockwork Tunnels|Mechanized Mile/1]
2019/06/09 00:25:24:567 INFO K$a.b: Got updated scene model [placeId=1188, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=440/%dungeon:Camp Crimson/-1986478821]
2019/06/09 00:35:57:371 INFO K$a.b: Got updated scene model [placeId=1206, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=25131/%dungeon:The Lab/1847817314]
2019/06/10 22:34:54:273 INFO K$a.b: Got updated scene model [placeId=1301, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741883/%dungeon:Clockwork Tunnels|Slimeway/1]
2019/06/10 22:40:31:808 INFO K$a.b: Got updated scene model [placeId=1308, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741884/%dungeon:Field Research Site/1]
2019/06/10 22:47:00:643 INFO K$a.b: Got updated scene model [placeId=815, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741859/%dungeon:Factory Floor/1]
2019/06/10 22:53:43:263 INFO K$a.b: Got updated scene model [placeId=828, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741861/%dungeon:Production Center/1]
2019/06/10 23:01:02:466 INFO K$a.b: Got updated scene model [placeId=1057, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=338/%dungeon:The Trap Chamber/278]
2019/06/10 23:06:32:151 INFO K$a.b: Got updated scene model [placeId=858, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741864/%dungeon:Clockwork Tunnels|Wild Path/1]
2019/06/10 23:14:42:738 INFO K$a.b: Got updated scene model [placeId=877, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=366/%dungeon:Aurora Isles|Geo Knight Camp/278]
2019/06/10 23:22:56:024 INFO K$a.b: Got updated scene model [placeId=1006, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=347/%dungeon:Soldier's Graveyard/277]
2019/06/10 23:27:58:926 INFO K$a.b: Got updated scene model [placeId=1207, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=380/%dungeon:Gloaming Wildwoods|Terrilous Trail/277]
2019/06/10 23:31:16:961 INFO K$a.b: Got updated scene model [placeId=1209, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=382/%dungeon:Gloaming Wildwoods|Roarsterous Ruins/278]
2019/06/10 23:36:44:496 INFO K$a.b: Got updated scene model [placeId=1214, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=384/%dungeon:Gloaming Wildwoods|Lair of the Snarbolax/278]
2019/06/11 22:05:57:026 INFO K$a.b: Got updated scene model [placeId=445, config=[type=data.MissionSceneConfig, ], scene=158/%building:~/308]
2019/06/11 22:08:30:392 INFO K$a.b: Got updated scene model [placeId=236, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=315/%dungeon:Becoming a Soldier/1831276379]
2019/06/11 22:09:57:076 INFO K$a.b: Got updated scene model [placeId=552, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=27912/%dungeon:%town:Haven/1729498277]
2019/06/11 22:11:33:776 INFO K$a.b: Got updated scene model [placeId=553, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=27911/%dungeon:The Lab/-1986524641]
2019/06/11 22:13:36:426 INFO K$a.b: Got updated scene model [placeId=546, config=[type=data.TownSceneConfig, ], scene=445/%town:Haven|Garrison/-1605088030]
2019/06/11 22:15:33:895 INFO K$a.b: Got updated scene model [placeId=416, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741841/%dungeon:The Hot Vents/1]
2019/06/11 22:21:09:979 INFO K$a.b: Got updated scene model [placeId=420, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741843/%dungeon:Smoldering Slime Source/1]
2019/06/11 22:27:01:681 INFO K$a.b: Got updated scene model [placeId=693, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741879/%dungeon:On the Hunt/1]
2019/06/11 22:37:23:934 INFO K$a.b: Got updated scene model [placeId=703, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741881/%dungeon:Den of the Snowclaw Pack/1]
2019/06/11 22:46:46:521 INFO K$a.b: Got updated scene model [placeId=149, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741824/%dungeon:Supply Yard/1]
2019/06/11 22:49:44:322 INFO K$a.b: Got updated scene model [placeId=151, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741825/%dungeon:Deconstruction Site/1]
2019/06/11 22:55:59:224 INFO K$a.b: Got updated scene model [placeId=159, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741826/%dungeon:Patrol Path/1]
2019/06/11 23:00:24:958 INFO K$a.b: Got updated scene model [placeId=161, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741827/%dungeon:Heavy Weapons Facility/1]
2019/06/11 23:09:31:978 INFO K$a.b: Got updated scene model [placeId=773, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741886/%dungeon:The Cold Approach/1]
2019/06/11 23:12:42:679 INFO K$a.b: Got updated scene model [placeId=774, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741887/%dungeon:Candlestick Keep/1]
2019/06/11 23:17:45:731 INFO K$a.b: Got updated scene model [placeId=784, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741889/%dungeon:Tired of Brimstone/1]
2019/06/11 23:20:39:765 INFO K$a.b: Got updated scene model [placeId=785, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741890/%dungeon:Devilish Drudgery/1]
2019/06/11 23:27:13:118 INFO K$a.b: Got updated scene model [placeId=1294, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=247/%dungeon:Inner Court/278]
2019/06/11 23:37:40:571 INFO K$a.b: Got updated scene model [placeId=1304, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=242/%dungeon:The Rambling Arcade/276]
2019/06/11 23:45:57:707 INFO K$a.b: Got updated scene model [placeId=1325, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=259/%dungeon:Eternal Study/277]
2019/06/11 23:56:45:961 INFO K$a.b: Got updated scene model [placeId=1003, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741902/%dungeon:Storm Rising/1]
2019/06/11 23:59:50:095 INFO K$a.b: Got updated scene model [placeId=1004, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741903/%dungeon:Night Falls/1]
2019/06/12 00:02:58:813 INFO K$a.b: Got updated scene model [placeId=1006, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741904/%dungeon:Showdown/1]
2019/06/12 00:10:41:165 INFO K$a.b: Got updated scene model [placeId=671, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=316/%dungeon:The Knight Elite/972996495]
2019/06/12 00:12:29:316 INFO K$a.b: Got updated scene model [placeId=198, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=253/%dungeon:Royal Jelly Palace|Garden of Goo/276]
2019/06/12 00:19:06:268 INFO K$a.b: Got updated scene model [placeId=200, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=251/%dungeon:Royal Jelly Palace|Red Carpet Runaround/276]
2019/06/12 00:31:41:656 INFO K$a.b: Got updated scene model [placeId=217, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=255/%dungeon:Royal Jelly Palace|Battle Royale/278]
2019/06/12 20:45:12:430 INFO K$a.b: Got updated scene model [placeId=180, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=367/%dungeon:Felling Giants/278]
2019/06/12 21:00:49:352 INFO K$a.b: Got updated scene model [placeId=197, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=375/%dungeon:Chopping Block/277]
2019/06/12 21:10:08:622 INFO K$a.b: Got updated scene model [placeId=367, config=[type=data.LevelSceneConfig, aDh=null, aDi=true], scene=1073741857/%dungeon:Toxic Cavern/1]
